idid;nev;megye;jaras;kisterseg;nepesseg;terulet;iranyitoszam;miota_varos;tipus
218;Nyírmada;Szabolcs-Szatmár-Bereg;Vásárosnaményi;Baktalórántházi;4 798;38,8;4564;2009;város
219;Nyírtelek;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nyíregyházi;6 502;67,92;4461;2005;város
220;Ócsa;Pest;Gyáli;Gyáli;9 416;81,66;2364;2005;város
221;Onga;Borsod-Abaúj-Zemplén;Miskolci;Miskolci;4 787;31,49;3562;2013;város
222;Orosháza;Békés;Orosházi;Orosházi;27 236;202,22;5900;1946;járásszékhely város
223;Oroszlány;Komárom-Esztergom;Oroszlányi;Oroszlányi;18 402;75,86;2840;1954;járásszékhely város
224;Ózd;Borsod-Abaúj-Zemplén;Ózdi;Ózdi;32 214;91,8;3600;1949;járásszékhely város
225;Őrbottyán;Pest;Váci;Veresegyházi;7 586;27,38;2162;2013;város
226;Őriszentpéter;Vas;Körmendi;Őriszentpéteri;1 141;33,56;9941;2005;város
227;Örkény;Pest;Dabasi;Dabasi;4 850;36,44;2377;2004;város
228;Pacsa;Zala;Zalaegerszegi;Pacsai;1 576;22,71;8761;2009;város
229;Paks;Tolna;Paksi;Paksi;18 623;154,08;7030;1978;járásszékhely város
230;Pálháza;Borsod-Abaúj-Zemplén;Sátoraljaújhelyi;Sátoraljaújhelyi;1 034;6,75;3994;2005;város
231;Pannonhalma;Győr-Moson-Sopron;Pannonhalmi;Pannonhalmai;4 064;29,57;9090;2000;járásszékhely város
232;Pápa;Veszprém;Pápai;Pápai;30 492;91,62;8500;1500;járásszékhely város
233;Pásztó;Nógrád;Pásztói;Pásztói;9 099;72,6;3060;1984;járásszékhely város
234;Pécel;Pest;Gödöllői;Gödöllői;16 310;43,63;2119;1996;város
235;Pécs;Baranya;Pécsi;Pécsi;142 873;162,77;7600;1500;megyeszékhely megyei jogú város
236;Pécsvárad;Baranya;Pécsváradi;Pécsváradi;3 982;36,03;7720;1993;járásszékhely város
237;Pétervására;Heves;Pétervásárai;Pétervásárai;2 057;33,87;3250;1989;járásszékhely város
238;Pilis;Pest;Monori;Monori;11 753;47,35;2721;2005;város
239;Piliscsaba;Pest;Pilisvörösvári;Pilisvörösvári;8 534;25,57;2081;2013;város
240;Pilisvörösvár;Pest;Pilisvörösvári;Pilisvörösvári;14 274;24,3;2085;1997;járásszékhely város
241;Polgár;Hajdú-Bihar;Hajdúnánási;Polgári;8 044;97,44;4090;1993;város
